topic_id,text
Group 1,"['humans perform the same calculations every day. ', 'Humans perform the same calculations every day. ']"
Group 2,"['students work best when they can do their own project their way ', 'Students work best when they can do their own project their way ']"
Group 3,"['it is life-changing. ', 'it is life-changing. ']"
Group 4,"['Second, there could be a tie in the electoral vote. ', 'Second, there could be a tie in the electoral vote. ']"
Group 5,"['On the other hand the electoral college is a great thing because a dispute over the outcome of an electoral college vote is possibe but its less likely than a dispute over the popular vote ', 'On the other hand the electoral college is a great thing because a dispute over the outcome of an electoral college vote is possibe but its less likely than a dispute over the popular vote ']"
Group 6,"['was it aliens or just landforms ', 'Was it aliens or just landforms ']"
Group 7,"['making this new rule would be taking a lot of fun opportunities from students that have trouble with school work. \n', 'making this new rule would be taking a lot of fun opportunities from students that have trouble with school work. ']"
Group 8,"['you can help others. ', 'you can help others. ']"
Group 9,"['people want to base their choice on the others opinions instead of just go with the flow. ', 'People want to base their choice on the others opinions instead of just go with the flow. ']"
Group 10,"['opinions, ', 'opinions, ']"
Group 11,"['The electoral college is unfair to voters. ', 'The electoral college is unfair to voters. ']"
Group 12,"['swing states ', 'Swing States ']"
Group 13,"['Big States ', 'big states ']"
Group 14,"['you get to see the world ', 'you get to see the world ']"
Group 15,"['The Electoral College is unfair ', 'the Electoral College is unfair ', 'Swing states ', 'The Electoral college is unfair ']"
Group 16,"['Opponents say that cell phones are good because they give an opportunity to make a call in case of emergency. ', 'Opponents say that cell phones are good because they give an opportunity to make a call in case of emergency. ']"
Group 17,"['The Electoral College requires a presidential candidate to have trans-regional appeal ', 'the Electoral College requires a presidential candidate to have trans-regional appeal ']"
Group 18,"['They shed have your best intros in mind, ', 'They shed have your best intros in mind. ']"
Group 19,"['The electoral college is unfair, outdated and irrational. ', 'The electoral college is unfair, outdated, and irrational. ']"
Group 20,"['you get to be on the ocean ', 'you get to be out in the ocean ']"
Group 21,"['one it carries code to help it detect certan emotions in the human face, ', 'One it carries code to help it detect certan emotions in the human face ', 'The electoral college is unfair , outdated and also irrational. ']"
Group 22,"['The best argument against the electoral college is what we might call the disaster factor. ', 'The single best argument against the electoral college is what we might call the disaster factor. ']"
Group 23,"['Some teenager in high school are having a baby or had their baby. ', '\nSome teenager in high school are having a baby or had their baby, ']"
Group 24,"['The Face is not a natural landform because it looks exactly like a face, ', 'The Face is not a natural landform because it looks exactly like a face. ']"
Group 25,"['it would also look good on your reputation. ', 'It would look good on your reputation. ']"
Group 26,"['and it all comes back to the voters. ', 'It all comes back to the voters. ']"
Group 27,"['The electoral college avoids the problem of elections in which no candidate receives a majority of the votes cast. ', 'The electoral college avoids the problem of elections in which no candidate recives a majority of the votes cast. ']"
Group 28,"['At the most basic level, the electoral college is unfair to the voters. ', 'At the most basic level, the electoral college is unfair to voters, ']"
Group 29,"['These conditions are far more extreme than anything humans encounter on Earth. ', 'These conditions are far more extreme than anything humans encounter on planet earth. \n']"
Group 30,"['But that was the first time since 1888. \n', 'but that was the first time since 1888. ']"
Group 31,"['The electoral college system is unfair ', 'The electoral college system is unfair in a way ']"
Group 32,"['There was a face on mars, ', 'There was a face on mars ']"
Group 33,"['less traffic, ', 'less traffic, ']"
Group 34,"['""Voters in presidential elections are people who want to express a political prefereance rather than people who think that a single vote may decide an election. . . ."" ', '""Voters in presidential elections are people who want to express a political preference rather than people who think that a single vote may decide an election...."" ']"
Group 35,"['Why do we need a Electoral College ', 'Why do we need a Electoral College? ']"
Group 36,"[""Everyone's president "", ""everyone's president, ""]"
Group 37,"['The machine uses the muscles in your face to detect your emotions, ', 'The machine uses the muscles in your face to detect emotions ']"
Group 38,"['It can be argued that the Electoral College method of selecting the president may turn off potential voters for a candidate who has no hope of carrying their state ', 'It can be argued that the electoral college method of selecting the president may turn off potential voters for a candidate who has no intention or hope of carrying their state ', 'At most basic level,the electoral college is unfair to voters. ']"
Group 39,"['"" Thousands of anxious web surfers were waiting when the image first appeared on the JPL web site, revealing... a natural landform. There was no alien monument after all."" ', '""Thousands of anxious web surfers were waiting when the first image appeared on a JPL website, revealing a natural landform. There was no alien monument after all."" ', 'The electoral college avoids the problem of elections in which no candidate recives a majority of the votes cast. ']"
Group 40,"['Venus has the hottest temperature of any planet in our solar system even though mercury is closest to the sun. ', 'Venus has the hottest surface temperature of any planet in our solar system, even though Mercury is closer to our sun. ', 'These conditions are far more extreme than anything humans encounter on Earth. ']"
Group 41,"[""people have to pay to take buses or taxi's to go places. "", ""people have to pay for buses or taxi's. ""]"
Group 42,"['The Electoral College is unfair. ', 'Electoral College is unfair. ']"
Group 43,"[""you can't believe anybody that has no evidence "", ""You can't believe anybody that has no real evidence. "", ""Everyone's president ""]"
Group 44,"['Lastly when we vote by Electoral college the citizens dont get to have the full call on who is elected ', 'Lastly when we vote by Electoral college the citizens dont get to have the full call on who is elected. ']"
Group 45,"['The representatives of the electoral college can basically vote for who ever they want to vote for. ', 'To begin with, the representatives of the electoral college can basically vote for who ever they want to vote for. ', 'opinions. ']"
Group 46,"['Last, the voters are merely voting for the slate of electors rather than the president. ', 'Lastly, the voters are merely voting for the slate of electors rather than the president. ']"
Group 47,"['They are various reasons why students should participate in online classes. ', 'They are further reasons why students should participate in online classes. ']"
Group 48,"['For example the electione of 2012 Obama received 61.7 percent of the electoral vote compared to only 51.3 percent of the popular votes cast for him and Romney. ', ""For example in 2012's election Obama recieved 61.7 percent of the electoral vote compared to only 51.3 percent of the popular votes cast for him and Romney. \n""]"
Group 49,"['it keeps balance, ', 'It keeps balance ', ""everyone's president, ""]"
Group 50,"['the technology failing ', 'the technology failing ']"
Group 51,"['Some teenager are better to work by their self to get it all done ', 'Some teenager are better to work by their self to get it all done. ']"
